jugador,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Gorgui Dieng,C,32,ATL,44,371,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,0.8,0.4,1.2,0.155,1.4,0.8,2.1,0.4
Spencer Dinwiddie,PG-SG,28,TOT,67,1980,15.1,0.543,0.449,0.343,2.6,13,7.8,25.7,1.1,0.6,10.9,21.4,2.7,1.4,4.1,0.098,0.8,-0.4,0.3,1.2
Donte DiVincenzo,SG,25,TOT,42,1006,11.3,0.51,0.649,0.247,4.3,14,9.1,16.1,2.3,0.7,16.2,18.9,-0.1,0.9,0.7,0.035,-1.8,-0.5,-2.3,-0.1
Luka Dončić,PG,22,DAL,65,2301,25.1,0.571,0.406,0.349,2.7,26,14.3,46,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9
Luguentz Dort,SG,22,OKC,51,1665,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1,9.8,23.3,0.2,1.1,1.4,0.04,-1.5,-0.7,-2.3,-0.1
Ayo Dosunmu,SG,22,CHI,77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3,0.069,-1.9,-0.1,-2,0
Damyean Dotson,SG,27,NYK,2,21,6.4,0.5,0.25,0,0,10.4,5.1,6.9,0,0,0,8.3,0,0,0,0.045,-3.7,-1.2,-4.9,0
Devon Dotson,PG,22,CHI,11,85,9.8,0.538,0.391,0.391,1.3,10.5,6,23.9,0.6,0,15.6,16.6,0.1,0,0.1,0.048,-3.4,-1.5,-4.9,-0.1
Sekou Doumbouya,PF,21,LAL,2,16,40.7,0.717,0.25,0.5,13.5,26.8,20.2,0,9,11.1,17,31.6,0,0.1,0.1,0.3,8.8,10,18.8,0.1
Jeff Dowtin,PG,24,TOT,9,108,6.8,0.353,0.346,0.077,7.9,9.8,8.9,12.7,2.2,0.9,15.7,12.8,-0.1,0.1,0,-0.01,-5.7,0.1,-5.6,-0.1
PJ Dozier,SG,25,DEN,18,340,8.7,0.463,0.485,0.131,4.8,15.6,10.3,11.3,1.6,1.6,11,15.2,-0.1,0.4,0.3,0.038,-3,1,-2,0
Goran Dragić,PG,35,TOT,21,498,10,0.474,0.417,0.219,2.9,11.3,7.1,22.9,1.9,0.7,17,17.2,-0.1,0.4,0.4,0.034,-2.8,-0.5,-3.3,-0.2
Andre Drummond,C,28,TOT,73,1437,21,0.574,0.007,0.379,18,34.1,26.2,13.7,2.7,4.2,18.5,19,2,3.1,5.1,0.17,-0.1,1.4,1.3,1.2
Chris Duarte,SG,24,IND,55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1
David Duke Jr.,PG,22,BRK,22,341,10,0.444,0.343,0.194,9.8,11.5,10.7,6.6,2,1.8,7.1,15.9,0,0.3,0.3,0.048,-3,-0.9,-3.9,-0.2
Kris Dunn,PG,27,POR,14,336,12.5,0.482,0.108,0.176,2.8,13.6,8,35.1,3.3,0.9,22.5,18.3,-0.1,0.3,0.2,0.024,-4.6,-0.8,-5.4,-0.3
Kevin Durant,PF,33,BRK,55,2047,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2,8.4,0.198,6.4,0.7,7.2,4.8
Jaime Echenique,C,24,WAS,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012,-5.5,-3,-8.5,0
Anthony Edwards,SG,20,MIN,72,2466,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2,1.8,12.2,26.4,1.8,2.4,4.3,0.084,1.6,-0.4,1.2,2
Carsen Edwards,SG,23,DET,4,79,5.5,0.378,0.533,0.033,2.6,5.8,4.1,26.2,1.2,0,14.1,19.2,-0.1,0,-0.1,-0.075,-6,-3.4,-9.3,-0.1
Kessler Edwards,SF,21,BRK,48,987,8.3,0.516,0.509,0.071,5,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-0.2,0.9,0.6,0.031,-3.1,-0.8,-3.8,-0.5
Rob Edwards,SG,25,OKC,2,11,-0.8,0.375,1,0,0,28.5,14,0,0,0,20,19.6,-0.1,0,0,-0.181,-8.3,-2.9,-11.2,0
CJ Elleby,SF,21,POR,58,1174,9.2,0.491,0.409,0.273,6,15.6,10.6,10.6,1.5,1.6,14,14.8,-0.1,0.5,0.4,0.016,-3.8,-1.5,-5.3,-1
Wayne Ellington,SG,34,LAL,43,810,9.9,0.593,0.89,0.046,1.3,8.9,5.1,5,1.4,0.5,7.3,13.8,0.6,0.4,1,0.062,-0.7,-0.6,-1.4,0.1
Joel Embiid,C,27,PHI,68,2297,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12,0.252,7.2,2,9.2,6.5
James Ennis III,SF,31,TOT,7,56,17.7,0.553,0.333,0.208,9.9,13.1,11.6,7.4,1.7,3.1,7.1,22,0.1,0.1,0.1,0.114,-0.1,-1,-1.1,0
Drew Eubanks,C,24,TOT,71,1245,18,0.638,0.062,0.35,11,22.2,16.5,10.1,1.2,2.8,15.9,17.5,2.2,1.1,3.4,0.13,-0.5,-0.9,-1.4,0.2
Tacko Fall,C,26,CLE,11,59,11.3,0.398,0,0.583,13.4,29.4,21.6,4.6,0,9.1,16.6,13.6,-0.1,0.1,0.1,0.043,-4.1,0.8,-3.4,0
Derrick Favors,C,30,OKC,39,653,13.6,0.534,0.088,0.137,9,20.2,14.5,5.9,1.3,1.7,4.5,13.4,0.8,0.7,1.4,0.105,-2.3,0.3,-2.1,0
Bruno Fernando,C,23,TOT,30,152,21.2,0.671,0.036,0.436,13,26.6,19.8,7.5,0.3,6.5,17.6,22.4,0.2,0.2,0.4,0.14,-0.4,0.2,-0.1,0.1
Dorian Finney-Smith,PF,28,DAL,80,2644,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,3.4,3.2,6.6,0.121,0.1,0.7,0.8,1.9
Malik Fitts,PF,24,TOT,15,63,10.7,0.553,0.526,0,3.5,25.2,14.7,12.7,0,0,9.5,14.6,0.1,0.1,0.1,0.097,-0.6,-0.5,-1.1,0
Malachi Flynn,PG,23,TOR,44,537,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,0.5,0.5,1,0.092,-1.8,0.4,-1.5,0.1
Bryn Forbes,SG,28,TOT,75,1286,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,0.8,0.6,1.4,0.054,-0.7,-2.2,-2.9,-0.3
Aleem Ford,SF,24,ORL,5,74,0.5,0.35,0.75,0,2.8,18.6,10.7,3.8,0.7,0,16.7,14,-0.2,0.1,-0.2,-0.103,-9.1,-2.2,-11.4,-0.2
Trent Forrest,PG,23,UTA,60,765,10.9,0.554,0.174,0.31,3.4,10.5,7.1,18.6,1.9,0.7,21.4,12.8,0.5,0.8,1.3,0.084,-2.3,1.2,-1,0.2
Evan Fournier,SG,29,NYK,80,2358,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,1.5,2.2,3.7,0.075,-0.4,-0.3,-0.7,0.7
De'Aaron Fox,PG,24,SAC,59,2083,17.4,0.549,0.228,0.319,1.3,10.9,6,26.8,1.6,1,11.9,29.1,1.5,1,2.5,0.058,0.6,-1.2,-0.6,0.7
Melvin Frazier,SG,25,OKC,3,120,-0.4,0.313,0.438,0.146,4.2,7,5.6,1.2,0.4,0,5.5,19.5,-0.4,0,-0.4,-0.16,-9.7,-6.7,-16.4,-0.4
Tim Frazier,PG,31,TOT,12,208,3.3,0.398,0.378,0.2,2.5,7.1,4.8,22.5,0.7,0.4,23.5,13.3,-0.3,0.1,-0.2,-0.046,-6.8,-1.8,-8.6,-0.3
Enes Freedom,C,29,BOS,35,411,15,0.585,0.052,0.289,16.5,25.4,21,2.7,0.6,3.1,15.5,13.9,0.6,0.7,1.4,0.16,-1.2,-0.2,-1.4,0.1
Markelle Fultz,PG,23,ORL,18,360,17.7,0.517,0.097,0.177,1.2,13.2,7.2,48.9,2.7,1.3,17.5,27.5,0,0.4,0.4,0.053,-0.1,0.4,0.2,0.2
Wenyen Gabriel,PF,24,TOT,26,358,12.5,0.549,0.255,0.382,11.8,17.2,14.5,5.6,0.7,2.7,11.1,17.4,0.4,0.3,0.7,0.09,-3.7,-2.1,-5.9,-0.4
Daniel Gafford,C,23,WAS,72,1444,21.8,0.708,0.002,0.372,12.1,19,15.6,7.3,1,5.8,12,16.7,4.4,1.6,6,0.198,1.1,0.5,1.6,1.3
Danilo Gallinari,PF,33,ATL,66,1672,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,2.8,0.8,3.6,0.105,1,-1.2,-0.2,0.8
Langston Galloway,SG,30,TOT,7,107,0.7,0.269,0.615,0,3.1,14.7,9,13.7,0.4,0,18.8,12.8,-0.3,0.1,-0.2,-0.1,-8,-1.8,-9.8,-0.2
Darius Garland,PG,22,CLE,68,2430,19,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,3.8,2.5,6.3,0.125,3.4,-0.8,2.6,2.8
Marcus Garrett,SG,23,MIA,12,128,4.7,0.28,0.19,0.238,8.1,12.2,10.2,7,2,2.5,7.9,8.8,-0.1,0.2,0.1,0.032,-6.4,1,-5.4,-0.1
Usman Garuba,PF,19,HOU,24,239,12.9,0.51,0.455,0.159,9.6,28.7,19.1,9.6,2,4.1,11.3,9.4,0.2,0.3,0.5,0.105,-1.8,0.9,-0.9,0.1
Luka Garza,C,23,DET,32,389,15.6,0.535,0.333,0.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,0.5,0.2,0.8,0.093,-0.5,-2,-2.5,-0.1
Rudy Gay,PF,35,UTA,55,1038,13,0.539,0.536,0.208,6,19.1,12.8,7.8,1.2,1.6,10.2,19.3,0.8,1.3,2.1,0.097,-0.7,-0.3,-1,0.3
Paul George,PF,31,LAC,31,1077,18.6,0.538,0.404,0.233,1.2,19.2,10.5,28.1,3,1,15.2,33.7,-0.6,1.9,1.3,0.057,1.8,1.9,3.7,1.6
Taj Gibson,C,36,NYK,52,946,12,0.606,0.229,0.313,9.8,16.3,13,4.9,1.2,4.2,12.5,10,1.4,1.2,2.7,0.135,-3,1,-2,0
Josh Giddey,SF,19,OKC,54,1700,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5
Shai Gilgeous-Alexander,PG,23,OKC,56,1942,20.9,0.557,0.282,0.385,1.9,13,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,4.6,0.113,2.9,0.5,3.4,2.7
Anthony Gill,PF,29,WAS,44,463,14.7,0.682,0.239,0.477,8,12.2,10.2,8.3,0.5,2,12,14.4,1.1,0.2,1.4,0.14,-0.6,-1.3,-1.9,0
Freddie Gillespie,PF,24,ORL,9,119,9.5,0.419,0.045,0.318,11.5,20.5,16,5.9,1.2,6.9,16.6,10.9,-0.1,0.2,0.1,0.049,-5.6,1,-4.6,-0.1
Rudy Gobert,C,29,UTA,66,2120,24.7,0.732,0.008,0.864,12.9,36.3,25,5.1,1,5.7,14.5,16.9,7.3,4.3,11.7,0.264,2.9,1.7,4.6,3.6
Brandon Goodwin,PG,26,CLE,36,502,11.8,0.501,0.357,0.247,3.1,11.4,7.4,26,2.5,0.2,17.4,18.2,0.1,0.7,0.7,0.069,-2.6,1.1,-1.6,0.1
Jordan Goodwin,SG,23,WAS,2,6,-20.4,0,0.333,0,0,18.2,9.2,0,0,0,0,22.2,-0.1,0,-0.1,-0.533,-24.7,-9.4,-34.1,0
Aaron Gordon,PF,26,DEN,75,2376,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2,5.2,0.105,0.5,-1.1,-0.6,0.9
Eric Gordon,SG,33,HOU,57,1669,12.1,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.6,1.5,-0.1,1.4,0.04,-0.1,-2.2,-2.3,-0.1
Devonte' Graham,PG,26,NOP,76,2162,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21,1.6,0.5,10.7,19.5,1.6,1.2,2.8,0.062,0.2,-1.2,-1,0.5
Jerami Grant,PF,27,DET,47,1500,16.1,0.556,0.363,0.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,1.2,1.1,2.3,0.075,1.4,-0.2,1.2,1.2
Hassani Gravett,PG,25,ORL,8,171,10.1,0.629,0.684,0.105,0.6,12.4,6.5,17,1.4,0.5,18.5,12.3,0.1,0.1,0.3,0.071,-2.4,0.2,-2.3,0
Danny Green,SF,34,PHI,62,1353,9.5,0.561,0.847,0.044,2.7,10.1,6.5,6.5,2.2,2.5,12.1,12.3,0.3,1.6,1.9,0.067,-1.4,0.8,-0.5,0.5
Draymond Green,PF,31,GSW,46,1329,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,0.8,2.8,3.6,0.131,-1.4,4.6,3.2,1.8
Jalen Green,SG,19,HOU,67,2138,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5
JaMychal Green,PF,31,DEN,67,1085,14.1,0.587,0.379,0.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,1.2,1.4,2.7,0.118,-2,0.1,-1.8,0
Javonte Green,SF,28,CHI,65,1519,14,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,2.9,1.5,4.4,0.139,-0.6,0.7,0.1,0.8
Jeff Green,PF,35,DEN,75,1849,12.5,0.627,0.318,0.374,2.6,11.1,7,7.3,0.7,1.3,10.3,16.3,2.7,1.2,3.9,0.101,-1.2,-1.3,-2.5,-0.2
Josh Green,SG,21,DAL,67,1039,11.9,0.578,0.305,0.176,5.6,11.7,8.6,11,2.2,1.2,13.8,13.9,1,1.4,2.4,0.111,-2.4,1.4,-1,0.3
Blake Griffin,C,32,BRK,56,958,13.7,0.518,0.463,0.243,7,18.6,13,15,1.4,1.3,8.2,16.9,1.2,0.9,2.1,0.106,-0.6,0.1,-0.5,0.3
Quentin Grimes,SG,21,NYK,46,786,10.7,0.565,0.804,0.081,3.2,9.8,6.4,8.5,2,1.4,10.3,15.1,0.6,0.9,1.4,0.087,-1.2,0.9,-0.3,0.3
Kyle Guy,SG,24,MIA,19,186,9.5,0.526,0.615,0.185,2.5,7.8,5.2,13.5,1.9,0.6,15.6,19.9,-0.1,0.2,0.1,0.035,-3.1,-0.3,-3.4,-0.1
Rui Hachimura,PF,23,WAS,42,943,14.9,0.579,0.323,0.173,3,15.6,9.4,7.9,1.2,0.8,7.4,20.9,0.9,0.6,1.4,0.073,0.2,-1.7,-1.4,0.1
Tyrese Haliburton,SG-PG,21,TOT,77,2695,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19,5.2,1.8,7,0.125,2.7,-0.1,2.6,3.1
Tyler Hall,SG,24,NYK,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-8.1,-0.5,-8.5,0
R.J. Hampton,SG,20,ORL,64,1402,8.5,0.481,0.4,0.256,1.7,12.9,7.3,16.9,1.4,0.8,14.6,18.4,-1.3,1.1,-0.2,-0.005,-4,-0.1,-4.1,-0.7
Tim Hardaway Jr.,SG,29,DAL,42,1245,12.7,0.52,0.574,0.194,1.2,12.8,7,11.4,1.5,0.4,5.6,22,0.5,1.5,2,0.077,-0.4,0.2,-0.2,0.6
James Harden,PG,32,TOT,65,2419,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,4.9,2.7,7.6,0.152,3.7,0.3,4,3.7
Maurice Harkless,SF,28,SAC,47,863,7.7,0.561,0.558,0.155,1.5,12.7,7.1,3.6,1.6,2.4,13.8,11.2,-0.1,0.6,0.5,0.026,-3.7,0.4,-3.3,-0.3
Jared Harper,PG,24,NOP,5,43,36.9,0.666,0.462,0.154,5,0,2.6,64.1,4.6,2.2,6.7,29.7,0.3,0.1,0.4,0.422,14.2,3.1,17.3,0.2
Montrezl Harrell,C,28,TOT,71,1641,23.2,0.68,0.031,0.533,10,18.7,14.4,13.9,0.9,2.3,9.5,20.2,6.1,1.2,7.3,0.213,3.7,0.1,3.9,2.4
Gary Harris,SG,27,ORL,61,1730,10.9,0.571,0.546,0.172,2.2,5.3,3.7,9.5,1.6,0.5,9.3,16.4,1.1,1,2.2,0.06,-2,-0.4,-2.4,-0.2
Joe Harris,SF,30,BRK,14,423,9.6,0.624,0.71,0.048,1.3,12.8,7.2,4.5,0.8,0.4,11.2,14.5,0.3,0.2,0.5,0.06,-0.9,-0.5,-1.4,0.1
Tobias Harris,PF,29,PHI,73,2543,15.9,0.566,0.269,0.198,3.4,18.1,10.9,15.9,0.9,1.5,9.5,21.7,3,2.6,5.6,0.105,0.6,-0.6,0,1.3
Shaquille Harrison,SG,28,BRK,2,23,4.6,0.333,0.333,0,4.9,13.8,9.5,16.6,2.1,3.9,25,15,-0.1,0,0,-0.067,-9,0.6,-8.3,0
Josh Hart,SG,26,TOT,54,1791,16.1,0.61,0.374,0.371,3.7,20.7,12,18.9,1.7,0.7,14.7,18.6,2.8,1.5,4.4,0.117,0.5,0.5,0.9,1.3
Isaiah Hartenstein,C,23,LAC,68,1216,22,0.664,0.082,0.361,10.5,18.2,14.5,20.5,2,5.4,16.5,18.4,3.3,2.2,5.5,0.215,1.4,3.1,4.5,2
Udonis Haslem,C,41,MIA,13,83,8.6,0.495,0.129,0.097,5.6,28.2,17.1,7.4,0.6,1.3,13.4,20,-0.1,0.1,0.1,0.033,-6.4,-0.7,-7.1,-0.1
Sam Hauser,SF,24,BOS,26,158,14.8,0.65,0.88,0,3.5,16,9.9,9.1,0.3,1.2,3.8,14.5,0.4,0.2,0.6,0.171,2.7,-0.3,2.3,0.2
Jaxson Hayes,C,21,NOP,70,1398,18.5,0.68,0.143,0.472,8.9,16.2,12.5,4.7,1.2,3.8,10.1,16.4,3.7,1.3,5.1,0.174,0.6,-0.3,0.2,0.8
Killian Hayes,PG,20,DET,66,1647,9.3,0.461,0.364,0.161,2.2,12,6.9,24.6,2.3,1.9,18.4,15.7,-1,1.5,0.5,0.014,-4.3,0.8,-3.5,-0.6
Gordon Hayward,SF,31,CHO,49,1564,15.1,0.57,0.357,0.241,2.5,12.8,7.6,16.1,1.4,1.3,10.6,20.7,1.9,1,2.8,0.087,0.1,-0.8,-0.7,0.5
Aaron Henry,SF,22,PHI,6,17,-7.4,0.2,0.2,0,0,6.5,3.3,0,0,10.6,28.6,18.5,-0.1,0,-0.1,-0.306,-14,-2.4,-16.5,-0.1
Juancho Hernangómez,PF,26,TOT,40,445,11.5,0.542,0.651,0.321,7,17.1,12.2,6,1.6,2,11.7,13.4,0.3,0.6,0.9,0.095,-0.7,0.1,-0.6,0.2
Willy Hernangómez,C,27,NOP,50,839,22.2,0.582,0.037,0.431,18.5,26.3,22.3,11.9,1.2,2.2,11.6,22.5,2.2,0.9,3.2,0.18,1.8,-1.5,0.2,0.5
Tyler Herro,SG,22,MIA,66,2151,16.2,0.561,0.391,0.195,1.7,15.4,8.7,20.9,1,0.4,12.5,28.8,1.3,2.4,3.8,0.084,1.6,-0.9,0.7,1.5
Buddy Hield,SG,29,TOT,81,2499,12.9,0.548,0.652,0.116,2.9,12.8,7.8,13.8,1.4,0.9,11.7,22.4,0.8,1.1,1.9,0.036,0.5,-1.7,-1.2,0.5
Haywood Highsmith,SF,25,MIA,19,163,7,0.446,0.609,0.109,7.1,10.9,9,5.1,0.6,1.9,5.9,14,0,0.2,0.1,0.041,-3.3,-1.3,-4.6,-0.1
George Hill,PG,35,MIL,54,1253,10.2,0.552,0.487,0.225,3.3,9.7,6.6,12.4,1.6,0.5,11.9,11.7,1.3,1,2.3,0.087,-2.2,0.6,-1.6,0.1
Malcolm Hill,SF-SG,26,TOT,19,212,12.7,0.619,0.692,0.269,5.8,12.6,9.2,5,1.6,1.2,4.9,12.7,0.4,0.2,0.6,0.126,-1.1,-0.5,-1.6,0
Solomon Hill,SF,30,ATL,13,139,3.3,0.2,0.65,0,4.8,13.3,9.1,10.3,1.4,1.3,4.8,6.6,-0.1,0.1,0,-0.006,-5.2,1.2,-4,-0.1
Nate Hinton,SG,22,IND,2,2,-45.2,0,0,0,0,0,0,0,0,0,50,42.8,-0.1,0,-0.1,-1.231,-28.1,-14.5,-42.6,0
Jaylen Hoard,SF,22,OKC,7,240,18,0.536,0.278,0.156,12.7,23.5,18,11.6,1.2,1.9,7.7,18.7,0.3,0.3,0.6,0.118,1.2,-2.1,-0.9,0.1
Aaron Holiday,PG,25,TOT,63,1021,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1
Jrue Holiday,PG,31,MIL,67,2207,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15,23.5,4.5,2.4,6.9,0.15,2.9,0.3,3.2,2.9
Justin Holiday,SF-SG,32,TOT,74,2057,9.5,0.543,0.728,0.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,0.8,0.6,1.4,0.033,-1.4,-0.8,-2.2,-0.1
Richaun Holmes,C,28,SAC,45,1074,17.8,0.689,0.017,0.3,9.3,22.9,16.1,6.8,0.8,3.3,14.2,15.8,2.4,0.9,3.2,0.145,-0.4,-0.1,-0.5,0.4
Rodney Hood,PF-SF,29,TOT,52,709,7.2,0.493,0.58,0.121,2.3,9.1,5.8,6.9,1,0.8,6.2,10.7,0.2,0.5,0.7,0.048,-3,-0.3,-3.3,-0.2
Scotty Hopson,SG,32,OKC,1,18,0.1,0.5,0.25,0,0,5.8,2.9,8.1,0,0,33.3,14.4,-0.1,0,0,-0.132,-8.7,-2.9,-11.6,0
Al Horford,C,35,BOS,69,2005,16.7,0.574,0.466,0.167,6,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,0.181,1.4,2.9,4.3,3.2
Talen Horton-Tucker,SG,21,LAL,60,1511,11,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,-0.2,1.2,1.1,0.033,-3.2,-0.2,-3.3,-0.5
Danuel House Jr.,SF,28,TOT,42,727,10.6,0.555,0.591,0.293,2.8,13.8,8.4,8.4,1.4,2.1,12.9,15.2,0.4,0.7,1,0.068,-1.3,0.2,-1.1,0.2
Dwight Howard,C,36,LAL,60,971,18.2,0.657,0.068,0.667,13.1,26.3,19.7,5,1.7,3.3,14.2,14.6,2.2,1.3,3.5,0.174,-0.2,0,-0.2,0.4
Markus Howard,SG,22,DEN,31,176,16.1,0.567,0.693,0.228,1.3,6.1,3.8,6.2,2.5,0,5.9,29.4,0.1,0.2,0.3,0.082,0.8,-2,-1.2,0
Kevin Huerter,SF,23,ATL,74,2188,11.9,0.57,0.541,0.068,1.6,11,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1,2.8,0.062,-0.5,-0.7,-1.2,0.4
Jay Huff,C,23,LAL,4,20,0.6,0,0.667,0,5.4,16.1,10.8,5.9,2.4,4.5,25,8.6,-0.1,0,0,-0.117,-8.3,0.9,-7.4,0
Elijah Hughes,SG-SF,23,TOT,36,434,5.4,0.426,0.66,0.063,1.5,13.4,7.3,7.2,1.6,1.8,10.3,16.5,-0.6,0.3,-0.4,-0.043,-5.2,-1.7,-6.9,-0.5
Feron Hunt,SF,22,NYK,2,8,-3,0,0,0,13.2,0,6.7,16,6.3,0,33.3,16.4,-0.1,0,0,-0.234,-12.3,1,-11.3,0
De'Andre Hunter,SF,24,ATL,53,1577,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,0.4,0.7,1.1,0.034,-2.4,-1.5,-3.9,-0.8
Chandler Hutchison,SF,25,PHO,6,22,1,0.694,0,1,0,23.8,12.2,10.5,0,0,58.1,13.5,-0.1,0,0,-0.086,-8,-0.5,-8.5,0
Bones Hyland,SG,21,DEN,69,1310,14.4,0.558,0.627,0.219,1.2,14.4,8,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,0.088,0.3,-0.7,-0.4,0.5
Serge Ibaka,C,32,TOT,54,877,14.4,0.579,0.334,0.149,7.7,22.2,15.1,8.4,0.6,3.3,12,17.8,0.8,1.1,2,0.108,-1.3,-0.2,-1.5,0.1
Andre Iguodala,SF,38,GSW,31,603,12.3,0.478,0.612,0.165,3.9,13.9,9.1,24.7,2.2,3.5,17.7,11.4,0.5,1.1,1.6,0.125,-0.9,3.7,2.7,0.7
Joe Ingles,SF,34,UTA,45,1122,10,0.551,0.789,0.077,1.2,11.2,6.4,19,1,0.4,13.5,13.2,1.3,0.9,2.2,0.094,-0.7,0.5,-0.3,0.5
Brandon Ingram,SF,24,NOP,55,1869,18.7,0.554,0.23,0.328,2,17.3,9.5,27.8,0.9,1.3,11.8,29.3,2.5,1.3,3.9,0.099,2.6,-0.6,2,1.9
Kyrie Irving,PG,29,BRK,29,1091,21.4,0.592,0.388,0.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,2.4,0.9,3.3,0.147,4.2,-1.2,3,1.4
Wes Iwundu,SF,27,ATL,3,82,7.1,0.557,0.278,0.222,4,13.3,8.7,0,0.6,0,4.8,11.1,0.1,0,0.1,0.046,-4.1,-2.7,-6.8,-0.1
Frank Jackson,PG,23,DET,53,1164,10.6,0.53,0.578,0.215,1.7,6.7,4,7.6,1.1,0.7,6.7,20.9,0.3,0.4,0.7,0.031,-1.8,-1.7,-3.5,-0.4
Isaiah Jackson,PF,20,IND,36,541,20.5,0.607,0.078,0.427,12.2,18.7,15.4,2.9,2.3,8.4,14,22.5,0.7,0.7,1.4,0.126,-1.6,0.1,-1.5,0.1
Jaren Jackson Jr.,PF,22,MEM,78,2126,17,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,0.121,-0.9,0.8,-0.1,1
Josh Jackson,SF,24,TOT,51,830,9.5,0.491,0.433,0.257,2.6,16.4,9.2,10,1.5,2.4,12.3,19.7,-0.7,0.7,0,0.001,-4.1,-0.4,-4.5,-0.5
Justin Jackson,SF,26,TOT,7,37,7.7,0.472,0.6,0.133,3,16.9,10.1,7.1,0,0,5.9,19.7,0,0,0,0.032,-2.2,-1.1,-3.3,0
Reggie Jackson,SG,31,LAC,75,2337,12.1,0.488,0.419,0.133,1.8,10.2,6.1,24.6,1.2,0.5,11.8,27.6,-1.7,2,0.4,0.008,-1.4,-1.6,-3,-0.6
LeBron James,PF,37,LAL,56,2084,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1
DeJon Jarreau,SG,24,IND,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-6.5,-1.5,-8,0
DaQuan Jeffries,SG,24,MEM,3,9,8.4,0.5,0.5,0,0,23.8,11.6,14,0,0,0,9.1,0,0,0,0.099,-5.8,0.9,-4.9,0
